POSTCODE,City
85640,Agua Linda
85320,Aguila
85321,Ajo
86506,Allentown
85920,Alpine
85645,Amado
85086,Anthem
85117,Apache Junction
85118,Apache Junction
85119,Apache Junction
85120,Apache Junction
85178,Apache Junction
85190,Apache Junction
85601,Arivaca
85123,Arizona City
85724,Arizona Medical Center
85287,Arizona State University
85322,Arlington
86320,Ash Fork
85287,ASU
85323,Avondale
85392,Avondale
85323,Avondale Goodyear
85338,Avondale Goodyear
86033,Baby Rock
86030,Bacobi
86321,Bagdad
85121,Bapchule
85607,Bay Acres
86432,Beaver Dam
86015,Bellemont
86333,Bensch Ranch
85602,Benson
85603,Bisbee
85603,Bisbee Junction
86031,Bitahochee
85324,Black Canyon City
86033,Black Mesa
85922,Blue
86520,Blue Gap
85643,Bonita
85325,Bouse
85605,Bowie
85326,Buckeye
85396,Buckeye
86426,Bullhead City
86427,Bullhead City
86429,Bullhead City
86430,Bullhead City
86439,Bullhead City
86442,Bullhead City
86446,Bullhead City
86512,Burnt Water
85530,Bylas
86016,Cameron
86020,Cameron
86322,Camp Verde
86022,Cane Beds
85611,Canelo
86503,Canyon de Chelly National Monument
85377,Carefree
85640,Carmen
85122,Casa Grande
85130,Casa Grande
85193,Casa Grande
85194,Casa Grande
85740,Casas Adobes
85602,Cascabel
85329,Cashion
85738,Catalina
85739,Catalina
85327,Cave Creek
85331,Cave Creek
86020,Cedar Ridge
85097,Census Bureau
85531,Central
86502,Chambers
85224,Chandler
85225,Chandler
85226,Chandler
85244,Chandler
85246,Chandler
85248,Chandler
85249,Chandler
85286,Chandler
85127,Chandler Heights
85142,Chandler Heights
86033,Chilchinbito
86503,Chinle
86507,Chinle
86538,Chinle
86547,Chinle
86556,Chinle
86323,Chino Valley
85643,Chiricahua National Monument
86431,Chloride
85911,Cibecue
85328,Cibola
85342,Circle City
86324,Clarkdale
85923,Clay Springs
85532,Claypool
85533,Clifton
86045,Coal Mine Mesa
85606,Cochise
86021,Colorado City
85924,Concho
85924,Concho Valley
85332,Congress
85629,Continental
85128,Coolidge
85603,Copper Queen
86333,Cordes Lakes
86505,Cornfields
86325,Cornville
85641,Corona
85641,Corona de Tucson
85711,Coronado
85712,Coronado
85732,Coronado
85652,Cortaro
86326,Cottonwood
86503,Cottonwood Station
85634,Cowlic
86511,Cross Canyon
86343,Crown King
85333,Dateland
85707,Davis Monthan AFB
85708,Davis Monthan AFB
86039,Dennebito
86535,Dennehotso
85086,Desert Hills
86327,Dewey
86047,Dilkon
85707,DM AFB
86441,Dolan Springs
85643,Dos Cabezas
85617,Double Adobe
85607,Douglas
85608,Douglas
85655,Douglas
85609,Dragoon
85192,Dudleyville
85534,Duncan
85925,Eagar
85535,Eden
85543,Eden
85334,Ehrenberg
85335,El Mirage
85122,Eleven Mile
85122,Eleven Mile Corner
85610,Elfrida
85611,Elgin
85131,Eloy
85621,Fairbank
86042,First Mesa
86001,Flagstaff
86002,Flagstaff
86003,Flagstaff
86004,Flagstaff
86005,Flagstaff
86011,Flagstaff
86015,Flagstaff
86017,Flagstaff
86018,Flagstaff
86024,Flagstaff
86038,Flagstaff
85132,Florence
85931,Forest Lakes
85926,Fort Apache
86504,Fort Defiance
85643,Fort Grant
85613,Fort Huachuca
85670,Fort Huachuca
85715,Fort Lowell
85749,Fort Lowell
85750,Fort Lowell
85751,Fort Lowell
85264,Fort McDowell
86426,Fort Mohave
86427,Fort Mohave
85536,Fort Thomas
85268,Fountain Hills
85269,Fountain Hills
86022,Fredonia
86052,Fredonia
85634,Fresnal Canyon
85635,Fry
85336,Gadsden
86505,Ganado
86540,Ganado
85337,Gila Bend
85233,Gilbert
85234,Gilbert
85295,Gilbert
85296,Gilbert
85297,Gilbert
85298,Gilbert
85299,Gilbert
85610,Gleeson
85301,Glendale
85302,Glendale
85303,Glendale
85304,Glendale
85305,Glendale
85306,Glendale
85307,Glendale
85308,Glendale
85309,Glendale
85310,Glendale
85311,Glendale
85312,Glendale
85318,Glendale
85501,Globe
85502,Globe
85118,Gold Canyon
86436,Golden Shores
86413,Golden Valley
85338,Goodyear
85395,Goodyear
86023,Grand Canyon
86434,Grand Canyon Caverns
86023,Grand Canyon National Park
86401,Grasshopper Junction
86016,Gray Mountain
86505,Greasewood
86507,Greasewood Springs
85637,Greaterville
85614,Green Valley
85622,Green Valley
86040,Greenehaven
85927,Greer
86303,Groom Creek
85634,Gu Achi
85283,Guadalupe
86411,Hackberry
86042,Hano
86024,Happy Jack
86039,Hard Rock
85624,Harshaw
86403,Havasu City
86435,Havasupai Indian Reservation
85930,Hawley Lake
85135,Hayden
85928,Heber
85931,Heber
85615,Hereford
85236,Higley
85632,Hilltop
86025,Holbrook
86028,Holbrook
86029,Holbrook
86031,Holbrook
86039,Hopi Indian Reservation
86030,Hotevilla
86506,Houck
86508,Houck
85616,Huachuca City
86503,Huachuca Terrace
86409,Hualapai
86412,Hualapai
86505,Hubbell Trading Post Nationa
86329,Humboldt
86511,Hunters Point
85744,IBM Corp
86514,Immanuel Mission
86031,Indian Wells
86305,Iron Springs
86022,Jacob Lake
86034,Jeddito
86331,Jerome
86032,Joseph City
86022,Kaibab
86022,Kaibab Indian Reservation
86053,Kaibeto
85643,Kansas Settlement
86033,Kayenta
86034,Keams Canyon
85137,Kearny
86505,Kin-Li-Chee
86401,Kingman
86402,Kingman
86409,Kingman
86411,Kingman
86412,Kingman
86413,Kingman
86437,Kingman
86445,Kingman
85640,Kinsley Ranch
86332,Kirkland
86505,Klagetoh
85643,Klondyke
86039,Kykotsmovi
86039,Kykotsmovi Village
86403,Lake Havasu City
86404,Lake Havasu City
86405,Lake Havasu City
86406,Lake Havasu City
86401,Lake Mead Rancheros
86342,Lake Montezuma
86040,Lake Powell Mart
85929,Lakeside
85339,Laveen
86035,Leupp
86047,Leupp Corner
85340,Litchfield
85340,Litchfield Park
85634,Little Tucson
86432,Littlefield
86403,Lk Havasu City
86404,Lk Havasu City
86405,Lk Havasu City
86406,Lk Havasu City
86342,Lk Montezuma
85624,Lochiel
86503,Low Mountain
85603,Lowell
86507,Lukachukai
85307,Luke AFB
85309,Luke AFB
85309,Luke Air Force Base
85341,Lukeville
86508,Lupton
85614,Madera Canyon
85618,Mammoth
86538,Many Farms
85653,Marana
85658,Marana
86036,Marble Canyon
85138,Maricopa
85139,Maricopa
85365,Martinez Lake
86333,Mayer
85617,Mc Neal
85930,McNary
85617,McNeal
86444,Meadview
86505,Mennonite Mission
85201,Mesa
85202,Mesa
85203,Mesa
85204,Mesa
85205,Mesa
85206,Mesa
85207,Mesa
85208,Mesa
85209,Mesa
85210,Mesa
85211,Mesa
85212,Mesa
85213,Mesa
85214,Mesa
85215,Mesa
85216,Mesa
85274,Mesa
85275,Mesa
85277,Mesa
85602,Mescal
86514,Mexican Water
85539,Miami
85615,Miracle Valley
86043,Mishongnovi
85706,Mission
85714,Mission
85734,Mission
85756,Mission
85139,Mobile
86022,Moccasin
86045,Moenave
86045,Moenkopi
86440,Mohave Valley
86446,Mohave Valley
85540,Morenci
86038,Mormon Lake
85342,Morristown
85619,Mount Lemmon
86017,Munds Park
85620,Naco
86011,Nau
86515,Navajo Indian Reservation
86505,Navajo Station
86540,Nazlini
86039,New Oraibi
85087,New River
85615,Nicksville
85621,Nogales
85628,Nogales
85648,Nogales
85662,Nogales
86052,North Rim
86001,Northern Arizona University
85932,Nutrioso
86506,Oak Springs
86433,Oatman
86039,Old Oraibi
86033,Oljato
85623,Oracle
86039,Oraibi
85704,Oro Valley
85737,Oro Valley
85742,Oro Valley
85755,Oro Valley
85933,Overgaard
86040,Page
85343,Palo Verde
85615,Palominas
85632,Paradise
85253,Paradise Valley
85344,Parker
85615,Parker Lake
86018,Parks
86018,Parks Comm Po
85624,Patagonia
85607,Paul Spur
86334,Paulden
85541,Payson
85547,Payson
86434,Peach Springs
85625,Pearce
86332,Peeples Valley
85345,Peoria
85380,Peoria
85381,Peoria
85382,Peoria
85383,Peoria
85385,Peoria
85542,Peridot
86028,Petrified Forest National Park
85001,Phoenix
85002,Phoenix
85003,Phoenix
85004,Phoenix
85005,Phoenix
85006,Phoenix
85007,Phoenix
85008,Phoenix
85009,Phoenix
85010,Phoenix
85011,Phoenix
85012,Phoenix
85013,Phoenix
85014,Phoenix
85015,Phoenix
85016,Phoenix
85017,Phoenix
85018,Phoenix
85019,Phoenix
85020,Phoenix
85021,Phoenix
85022,Phoenix
85023,Phoenix
85024,Phoenix
85025,Phoenix
85026,Phoenix
85027,Phoenix
85028,Phoenix
85029,Phoenix
85030,Phoenix
85031,Phoenix
85032,Phoenix
85033,Phoenix
85034,Phoenix
85035,Phoenix
85036,Phoenix
85037,Phoenix
85038,Phoenix
85039,Phoenix
85040,Phoenix
85041,Phoenix
85042,Phoenix
85043,Phoenix
85044,Phoenix
85045,Phoenix
85046,Phoenix
85048,Phoenix
85050,Phoenix
85051,Phoenix
85053,Phoenix
85054,Phoenix
85060,Phoenix
85061,Phoenix
85062,Phoenix
85063,Phoenix
85064,Phoenix
85065,Phoenix
85066,Phoenix
85067,Phoenix
85068,Phoenix
85069,Phoenix
85070,Phoenix
85071,Phoenix
85072,Phoenix
85073,Phoenix
85074,Phoenix
85075,Phoenix
85076,Phoenix
85078,Phoenix
85079,Phoenix
85080,Phoenix
85082,Phoenix
85083,Phoenix
85085,Phoenix
85086,Phoenix
85087,Phoenix
85097,Phoenix
85098,Phoenix
85141,Picacho
85543,Pima
85709,Pima Community College
85544,Pine
86506,Pine Springs
85934,Pinedale
85935,Pinetop
86510,Pinon
86520,Pinon
86022,Pipe Spring National Monument
85626,Pirtleville
85634,Pisinemo
86042,Polacca
85627,Pomerene
85632,Portal
85371,Poston
86301,Prescott
86302,Prescott
86303,Prescott
86304,Prescott
86305,Prescott
86313,Prescott
86312,Prescott Valley
86314,Prescott Valley
86315,Prescott Valley
85346,Quartzsite
85359,Quartzsite
85140,Queen Creek
85142,Queen Creek
85143,Queen Creek
85118,Queen Valley
86506,Querino
86045,Rare Metals
86044,Red Lake
86514,Red Mesa
85145,Red Rock
86544,Red Valley
85602,Redington
85936,Richville
85654,Rillito
86335,Rimrock
85710,Rincon
85730,Rincon
85747,Rincon
85748,Rincon
85648,Rio Rico
85263,Rio Verde
86545,Rock Point
85324,Rock Springs
85347,Roll
85545,Roosevelt
86503,Rough Rock
86547,Round Rock
85643,Rucker
85147,Sacaton
85739,Saddlebrooke
85546,Safford
85548,Safford
85629,Sahuarita
85630,Saint David
85936,Saint Johns
86511,Saint Michaels
85936,Salado
86503,Salina
85348,Salome
85550,San Carlos
85349,San Luis
85631,San Manuel
85632,San Simon
85140,San Tan Valley
85142,San Tan Valley
85143,San Tan Valley
86039,Sand Springs
86512,Sanders
85641,Santa Rita
85641,Santa Rita Foothills
85633,Sasabe
85250,Scottsdale
85251,Scottsdale
85252,Scottsdale
85253,Scottsdale
85254,Scottsdale
85255,Scottsdale
85256,Scottsdale
85257,Scottsdale
85258,Scottsdale
85259,Scottsdale
85260,Scottsdale
85261,Scottsdale
85262,Scottsdale
85263,Scottsdale
85264,Scottsdale
85266,Scottsdale
85267,Scottsdale
85268,Scottsdale
85269,Scottsdale
85271,Scottsdale
86043,Second Mesa
86336,Sedona
86339,Sedona
86340,Sedona
86341,Sedona
86351,Sedona
86337,Seligman
85634,Sells
86434,Shipley
86043,Shipolovi
86043,Shongopovi
86054,Shonto
85901,Show Low
85902,Show Low
85911,Show Low
85901,Shumway
86042,Sichomovi
85643,Sierra Bonita
85613,Sierra Vista
85635,Sierra Vista
85636,Sierra Vista
85650,Sierra Vista
85670,Sierra Vista
85671,Sierra Vista
85634,Sil Nakaya
86338,Skull Valley
86503,Smoke Signal
85937,Snowflake
85942,Snowflake
85551,Solomon
85350,Somerton
85637,Sonoita
85603,South Bisbee
85725,South Tucson
86333,Spring Valley
85938,Springerville
85938,Springville
85936,St Johns
86511,St Michaels
85172,Stanfield
85541,Star Valley
86505,Steamboat Canyon
85544,Strawberry
85716,Sun
85719,Sun
85733,Sun
85351,Sun City
85372,Sun City
85373,Sun City
85374,Sun City
85375,Sun City
85379,Sun City
85387,Sun City
85375,Sun City West
85376,Sun City West
85387,Sun City West
85248,Sun Lakes
86029,Sun Valley
85625,Sunizona
86505,Sunrise Springs
85643,Sunset
85603,Sunset Acres
85625,Sunsites
86435,Supai
85173,Superior
85118,Superstition Mountain
85118,Suprstiton Mountain
85374,Surprise
85378,Surprise
85379,Surprise
85387,Surprise
85388,Surprise
85352,Tacna
86503,Tahchee
85939,Taylor
85280,Tempe
85281,Tempe
85282,Tempe
85283,Tempe
85284,Tempe
85285,Tempe
85287,Tempe
86443,Temple Bar Marina
85552,Thatcher
85603,Tintown
86514,Tolacon
86047,Tolani
86047,Tolani Lakes
85353,Tolleson
85131,Toltec
85638,Tombstone
86044,Tonalea
86053,Tonalea
86054,Tonalea
85354,Tonopah
85553,Tonto Basin
85639,Topawa
86436,Topock
86043,Toreva
85190,Tortilla Flat
86505,Toyei
86434,Truxton
86503,Tsail
86556,Tsaile
86515,Tse Bonita
85756,TSN
86045,Tuba City
85646,Tubac
85701,Tucson
85702,Tucson
85703,Tucson
85704,Tucson
85705,Tucson
85706,Tucson
85707,Tucson
85708,Tucson
85709,Tucson
85710,Tucson
85711,Tucson
85712,Tucson
85713,Tucson
85714,Tucson
85715,Tucson
85716,Tucson
85717,Tucson
85718,Tucson
85719,Tucson
85720,Tucson
85721,Tucson
85722,Tucson
85723,Tucson
85724,Tucson
85725,Tucson
85726,Tucson
85728,Tucson
85730,Tucson
85731,Tucson
85732,Tucson
85733,Tucson
85734,Tucson
85735,Tucson
85736,Tucson
85737,Tucson
85738,Tucson
85739,Tucson
85740,Tucson
85741,Tucson
85742,Tucson
85743,Tucson
85744,Tucson
85745,Tucson
85746,Tucson
85747,Tucson
85748,Tucson
85749,Tucson
85750,Tucson
85751,Tucson
85752,Tucson
85754,Tucson
85755,Tucson
85756,Tucson
85757,Tucson
85775,Tucson
85640,Tumacacori
85643,Turkey Creek
86023,Tusayan
85756,Tuscon
86511,Two Story
85721,University of Arizona
86507,Upper Greasewood Trading Pos
86507,Upper Wheatfields
85641,Vail
86437,Valentine
85191,Valley Farms
85634,Vamori
85940,Vernon
85723,Veterans Hospital
85534,Virden
85355,Waddell
86042,Walpi
85356,Wellton
85357,Wenden
85616,Whetstone
86504,White Clay
86445,White Hills
85912,White Mountain Lake
85941,Whiteriver
85358,Wickenburg
85390,Wickenburg
86502,Wide Ruins
85360,Wikieup
85643,Willcox
85644,Willcox
86046,Williams
86445,Willow Beach
86515,Window Rock
85192,Winkelman
86047,Winslow
85603,Winwood
85936,Witch Wells
85361,Wittmann
85942,Woodruff
86505,Woodsprings
85362,Yarnell
85554,Young
85363,Youngtown
85365,Ypg
86438,Yucca
85364,Yuma
85365,Yuma
85366,Yuma
85367,Yuma
85369,Yuma
85365,Yuma Proving Ground
